"kingdom","phylum","class","order","family","genus","species","SH_species","OTU","exploration_type","Ecm_lineage","mean_gs"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_periconioides","Oidiodendron_periconioides","ITSall_OTUb_8077","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_echinulatum","Oidiodendron_echinulatum","ITSall_OTUa_5969","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUa_2413","unknown","unknown","46.43"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","unknown","Laccaria_sp","ITSall_OTUa_13","short-distance_delicate","/laccaria","57.595"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUa_2741","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_8414","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_griseum","Oidiodendron_griseum","ITSall_OTUc_1349","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_28185","unknown","unknown","46.43"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","unknown","Tomentella_sp","ITSall_OTUa_151","medium-distance_smooth","/tomentella-thelephora","unknown"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_chlamydosporicum","Oidiodendron_chlamydosporicum","ITSall_OTUa_1173","unknown","unknown","46.43"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","unknown","Inocybe_sp","ITSall_OTUd_1875","short-distance_delicate","/inocybe","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","unknown","Cortinarius_sp","ITSall_OTUj_1017","medium-distance_fringe","/cortinarius","62.89"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_19960","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUd_3001","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUa_9472","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_14242","unknown","unknown","46.43"
